--- n=4 scan L=4 (nb=2), 21 p-values, k_want=18 ---
  p=0.260 lam1=0.15097706 sig=0.13385465 (std.std) eps=0.020832553707261198 X=0.48149 mom1=1.00 [0.0s]
  p=0.270 lam1=0.13946756 sig=0.12266741 (std.std) eps=0.019421428310631227 X=0.51342 mom1=1.00 [0.0s]
  p=0.280 lam1=0.12877731 sig=0.11231998 (std.std) eps=0.0180882659861305 X=0.54693 mom1=1.00 [0.0s]
  p=0.290 lam1=0.11885390 sig=0.10275691 (std.std) eps=0.016829460433242197 X=0.58212 mom1=1.00 [0.1s]
  p=0.300 lam1=0.10964779 sig=0.09392589 (std.std) eps=0.015641572212237772 X=0.61907 mom1=1.00 [0.1s]
  p=0.310 lam1=0.10111222 sig=0.08577758 (std.std) eps=0.014521320102721781 X=0.65789 mom1=1.00 [0.0s]
  p=0.320 lam1=0.09320300 sig=0.07826549 (std.std) eps=None X=0.69869 mom1=1.00 [0.1s]
  p=0.330 lam1=0.08587847 sig=0.07134583 (std.std) eps=0.012471341419587533 X=0.74158 mom1=1.00 [0.1s]
  p=0.340 lam1=0.07909937 sig=0.06497738 (std.std) eps=0.011535771230315486 X=0.78666 mom1=1.00 [0.0s]
  p=0.350 lam1=0.07282868 sig=0.05912139 (std.std) eps=None X=0.83407 mom1=1.00 [0.1s]
  p=0.360 lam1=0.06703156 sig=0.05374144 (std.std) eps=None X=0.88392 mom1=1.00 [0.2s]
  p=0.370 lam1=0.06167523 sig=0.04880333 (std.std) eps=None X=0.93634 mom1=1.00 [0.1s]
  p=0.380 lam1=0.05672889 sig=0.04427495 (std.std) eps=None X=0.99146 mom1=1.00 [0.1s]
  p=0.390 lam1=0.05216358 sig=0.04012622 (std.std) eps=None X=1.04942 mom1=1.00 [0.1s]
  p=0.400 lam1=0.04795212 sig=0.03632894 (std.std) eps=None X=1.11035 mom1=1.00 [0.1s]
  p=0.410 lam1=0.04406905 sig=0.03285670 (std.std) eps=None X=1.17441 mom1=1.00 [0.1s]
  p=0.420 lam1=0.04049046 sig=0.02968483 (std.std) eps=None X=1.24172 mom1=1.00 [0.1s]
  p=0.430 lam1=0.03719400 sig=0.02679024 (std.std) eps=None X=1.31244 mom1=1.00 [0.1s]
  p=0.440 lam1=0.03415875 sig=0.02415139 (std.std) eps=None X=1.38671 mom1=1.00 [0.1s]
  p=0.450 lam1=0.03136516 sig=0.02174818 (std.std) eps=None X=1.46467 mom1=1.00 [0.1s]
  p=0.460 lam1=0.02879497 sig=0.01956187 (std.std) eps=None X=1.54647 mom1=1.00 [0.1s]
--- n=4 scan L=6 (nb=3), 21 p-values, k_want=18 ---
  p=0.260 lam1=0.05098591 sig=0.04790452 (std.std) eps=None X=0.37404 mom1=1.00 [3.1s]
  p=0.270 lam1=0.04497824 sig=0.04202313 (std.std) eps=None X=0.40775 mom1=1.00 [3.3s]
  p=0.280 lam1=0.03965354 sig=0.03682236 (std.std) eps=None X=0.44445 mom1=1.00 [3.1s]
  p=0.290 lam1=0.03493894 sig=0.03222885 (std.std) eps=None X=0.48444 mom1=1.00 [2.6s]
  p=0.300 lam1=0.03076872 sig=0.02817651 (std.std) eps=None X=0.52806 mom1=1.00 [3.3s]
  p=0.310 lam1=0.02708365 sig=0.02460587 (std.std) eps=None X=0.57567 mom1=1.00 [3.1s]
  p=0.320 lam1=0.02383046 sig=0.02146347 (std.std) eps=None X=0.62767 mom1=1.00 [4.0s]
  p=0.330 lam1=0.02096122 sig=0.01870132 (std.std) eps=None X=0.68448 mom1=1.00 [4.2s]
  p=0.340 lam1=0.01843290 sig=0.01627636 (std.std) eps=None X=0.74654 mom1=1.00 [3.2s]
  p=0.350 lam1=0.01620690 sig=0.01415007 (std.std) eps=None X=0.81431 mom1=1.00 [3.1s]
  p=0.360 lam1=0.01424863 sig=0.01228794 (std.std) eps=None X=0.88826 mom1=1.00 [3.1s]
  p=0.370 lam1=0.01252713 sig=0.01065917 (std.std) eps=None X=0.96886 mom1=1.00 [3.8s]
  p=0.380 lam1=0.01101473 sig=0.00923627 (std.std) eps=None X=1.05657 mom1=1.00 [4.2s]
  p=0.390 lam1=0.00968673 sig=0.00799476 (std.std) eps=None X=1.15183 mom1=1.00 [3.8s]
  p=0.400 lam1=0.00852113 sig=0.00691282 (std.std) eps=None X=1.25503 mom1=1.00 [4.2s]
  p=0.410 lam1=0.00749835 sig=0.00597110 (std.std) eps=None X=1.36651 mom1=1.00 [3.3s]
  p=0.420 lam1=0.00660102 sig=0.00515241 (std.std) eps=None X=1.48655 mom1=1.00 [3.5s]
  p=0.430 lam1=0.00581373 sig=0.00444152 (std.std) eps=None X=1.61535 mom1=1.00 [3.3s]
  p=0.440 lam1=0.00512288 sig=0.00382495 (std.std) eps=None X=1.75302 mom1=1.00 [3.4s]
  p=0.450 lam1=0.00451646 sig=0.00329080 (std.std) eps=None X=1.89959 mom1=1.00 [2.8s]
  p=0.460 lam1=0.00398392 sig=0.00282856 (std.std) eps=None X=2.05499 mom1=1.00 [3.4s]
--- n=4 scan L=8 (nb=4), 21 p-values, k_want=18 ---
  p=0.260 lam1=0.01766859 sig=0.01712776 (std.std) eps=0.007589589305510496 X=0.24870 mom1=1.00 [93.0s]
  p=0.270 lam1=0.01488341 sig=0.01437512 (std.std) eps=0.006531281486972701 X=0.27799 mom1=1.00 [91.7s]
  p=0.280 lam1=0.01252535 sig=0.01204753 (std.std) eps=0.005616119023244423 X=0.31116 mom1=1.00 [97.6s]
  p=0.290 lam1=0.01053184 sig=0.01008245 (std.std) eps=0.0048249099617061805 X=0.34885 mom1=1.00 [93.1s]
  p=0.300 lam1=0.00884900 sig=0.00842604 (std.std) eps=None X=0.39182 mom1=1.00 [111.2s]
  p=0.310 lam1=0.00743052 sig=0.00703203 (std.std) eps=None X=0.44096 mom1=1.00 [114.4s]
  p=0.320 lam1=0.00623658 sig=0.00586070 (std.std) eps=0.003039051745381279 X=0.49730 mom1=1.00 [122.1s]
  p=0.330 lam1=0.00523307 sig=0.00487806 (std.std) eps=None X=0.56201 mom1=1.00 [164.0s]
  p=0.340 lam1=0.00439076 sig=0.00405500 (std.std) eps=None X=0.63641 mom1=1.00 [166.8s]
  p=0.350 lam1=0.00368466 sig=0.00336670 (std.std) eps=None X=0.72197 mom1=1.00 [157.1s]
  p=0.360 lam1=0.00309341 sig=0.00279198 (std.std) eps=None X=0.82019 mom1=1.00 [166.8s]
  p=0.370 lam1=0.00259880 sig=0.00231283 (std.std) eps=None X=0.93261 mom1=1.00 [153.0s]
  p=0.380 lam1=0.00218531 sig=0.00191396 (std.std) eps=None X=1.06066 mom1=1.00 [253.7s]
  p=0.390 lam1=0.00183975 sig=0.00158239 (std.std) eps=None X=1.20554 mom1=1.00 [243.8s]
  p=0.400 lam1=0.00155095 sig=0.00130716 (std.std) eps=None X=1.36809 mom1=1.00 [193.5s]
  p=0.410 lam1=0.00130944 sig=0.00107899 (std.std) eps=None X=1.54865 mom1=1.00 [200.2s]
  p=0.420 lam1=0.00110728 sig=0.00089006 (std.std) eps=None X=1.74705 mom1=1.00 [231.1s]
  p=0.430 lam1=0.00093781 sig=0.00073379 (std.std) eps=None X=1.96257 mom1=1.00 [238.4s]
  p=0.440 lam1=0.00079548 sig=0.00060468 (std.std) eps=None X=2.19399 mom1=1.00 [197.2s]
  p=0.450 lam1=0.00067571 sig=0.00049809 (std.std) eps=None X=2.43976 mom1=1.00 [195.7s]
  p=0.460 lam1=0.00057468 sig=0.00041016 (std.std) eps=None X=2.69812 mom1=1.00 [236.7s]
written mipt_results/n4_annealed_scan_v1.json
