--- n=5 scan L=4 (nb=2), 21 p-values ---
  p=0.320 lam1=0.07057115250213798 lam2=0.011046306918533864 gap12=1.8545252996279196 sig=0.06287012602889804 (std.std) X=0.46220 [131.0s]
  p=0.330 lam1=0.0641415741606078 lam2=0.010182141276776217 gap12=1.840457406002681 sig=0.0567346141881519 (std.std) X=0.49083 [146.0s]
  p=0.340 lam1=0.058250874902665443 lam2=0.009375227608235896 gap12=1.826688262347671 sig=0.051135903437785374 (std.std) X=0.52109 [115.2s]
  p=0.350 lam1=0.052858907995097355 lam2=0.008622261508961416 gap12=1.8132788442329335 sig=0.04603280265969636 (std.std) X=0.55309 [117.6s]
  p=0.360 lam1=0.047928084448915165 lam2=0.007920116276402484 gap12=1.8002957596929485 sig=0.041386811999839304 (std.std) X=0.58696 [118.8s]
  p=0.370 lam1=0.043423239125475 lam2=0.007265834283389389 gap12=1.7878116351090692 sig=0.03716197927492995 (std.std) X=0.62283 [102.5s]
  p=0.380 lam1=0.03931150225664326 lam2=0.006656618712609487 gap12=1.7759054995201538 sig=0.033324762242732536 (std.std) X=0.66087 [116.6s]
  p=0.390 lam1=0.035562176240861144 lam2=0.0060898256255266505 gap12=1.7646631595040168 sig=0.02984389657333556 (std.std) X=0.70121 [142.7s]
  p=0.400 lam1=0.032146617580248886 lam2=0.005562956339065238 gap12=1.754177555080647 sig=0.02669026936099107 (std.std) X=0.74403 [191.7s]
  p=0.410 lam1=0.029038123827027678 lam2=0.005073650082891511 gap12=1.7445490853358072 sig=0.02383679801858914 (std.std) X=0.78952 [82.8s]
  p=0.420 lam1=0.026211825410387832 lam2=0.004619676909924366 gap12=1.7358858907486783 sig=0.021258314398856358 (std.std) X=0.83785 [121.5s]
  p=0.430 lam1=0.023644582217301587 lam2=0.004198930832974407 gap12=1.7283040776688623 sig=0.018931453989035826 (std.std) X=0.88924 [81.8s]
  p=0.440 lam1=0.021314884802427544 lam2=0.0038094231613833634 gap12=1.7219278692072717 sig=0.016834550027828802 (std.std) X=0.94389 [92.6s]
  p=0.450 lam1=0.019202760102929258 lam2=0.003449276013475478 gap12=1.7168896662079196 sig=0.0149475323958058 (std.std) X=1.00203 [94.3s]
  p=0.460 lam1=0.01728968153343119 lam2=0.003116715983825854 gap12=1.7133300022117592 sig=0.013251831132776505 (std.std) X=1.06390 [114.7s]
  p=0.470 lam1=0.015558483334206846 lam2=0.0028100679490628624 gap12=1.7113973776904026 sig=0.011730284437877138 (std.std) X=1.12973 [98.3s]
  p=0.480 lam1=0.013993279041813345 lam2=0.0025277490023714534 gap12=1.7112479615848928 sig=0.010367051010423374 (std.std) X=1.19978 [117.6s]
  p=0.490 lam1=0.012579383945660105 lam2=0.002268262515137177 gap12=1.7130451525576889 sig=0.00914752659183611 (std.std) X=1.27430 [95.5s]
  p=0.500 lam1=0.011303241386520583 lam2=0.002030192334189722 gap12=1.7169589984779705 sig=0.008058264571188982 (std.std) X=1.35357 [99.9s]
  p=0.510 lam1=0.010152352744099565 lam2=0.0018121971345171778 gap12=1.723165480488336 sig=0.007086900519167007 (std.std) X=1.43783 [93.2s]
  p=0.520 lam1=0.009115210951102803 lam2=0.001613004959493284 gap12=1.7318456773147102 sig=0.006222080517397139 (std.std) X=1.52736 [107.3s]
written mipt_results/n5_annealed_scan_v1.json
