--- n=4 L=10 scan (nb=5, N=7962624), 15 points, 0 done ---
  p=0.320 lam1=0.0016633516643196344 eps=0.0009344209101982415 sig=0.0016033205902203918 X10=0.36757794137151795 [504.7s]
  p=0.330 lam1=0.0013306278269737959 eps=0.000767257297411561 sig=0.0012743431143462658 X10=0.43220039796499155 [579.1s]
  p=0.340 lam1=0.0010644509457051754 eps=0.0006289556040428579 sig=0.0010114115430042148 X10=0.5111219978831147 [498.8s]
  p=0.350 lam1=0.000851910503115505 eps=0.0005144777242094278 sig=0.0008016678038984537 X10=0.6078716556512644 [396.1s]
  p=0.360 lam1=0.0006824920419603586 eps=0.000419691379647702 sig=0.0006346689769998193 X10=0.7264729995240916 [571.4s]
  p=0.370 lam1=0.0005476400256156921 eps=0.0003412202058825642 sig=0.0005019469535909593 X10=0.8712373956953023 [576.6s]
  p=0.380 lam1=0.00044039697968401015 eps=0.000276313629001379 sig=0.0003966494114138186 X10=1.046237508512869 [574.9s]
  p=0.390 lam1=0.00035511498572304845 eps=0.00022273501963354647 sig=0.0003132465062662959 X10=1.2545119994146645 [499.7s]
  p=0.400 lam1=0.000287223985651508 eps=0.00017865721019916236 sig=0.00024728296557441354 X10=1.497290586554847 [388.1s]
  p=0.410 lam1=0.00023305379727389663 eps=0.0001425681111868471 sig=0.0001951797748915851 X10=1.7734826012719944 [494.4s]
  p=0.420 lam1=0.0001896835456136614 eps=0.00011319330951664597 sig=0.00015406696184072644 X10=2.0796980913364265 [604.6s]
