--- n=5 L=6 scan (nb=3, N=1728000), 21 points, 0 already done ---
  p=0.320 lam1=0.015610899776220322 lam2=0.005455885082483292 gap12=1.0512744808974843 sig=0.014819199219346046 X6=0.31227473552333695 [426.7s]
  p=0.330 lam1=0.013411270454525948 lam2=0.004786388017237186 gap12=1.0303193394256538 sig=0.012675913982093334 X6=0.3383506573556483 [588.0s]
  p=0.340 lam1=0.011506108567118645 lam2=0.0041945623233914375 gap12=1.0090890760208258 sig=0.010823386721313 X6=0.36701306390225563 [413.1s]
  p=0.350 lam1=0.009858676232397556 lam2=0.003671712474897504 gap12=0.9876937596489762 sig=0.009225013665854931 X6=0.3985993915994366 [604.2s]
  p=0.360 lam1=0.008436563424766064 lam2=0.0032100840471684933 gap12=0.9662779034595548 sig=0.007848409004509449 X6=0.4335852711603188 [770.6s]
  p=0.370 lam1=0.007210993207991123 lam2=0.0028027514927089214 gap12=0.94500505550731 sig=0.006665008142590523 X6=0.4724131242881525 [360.2s]
  p=0.380 lam1=0.006156580056995153 lam2=0.0024435282684862614 gap12=0.9240784553614291 sig=0.005649592261761427 X6=0.515628367954796 [261.6s]
  p=0.390 lam1=0.005250999704003334 lam2=0.0021269207354635 gap12=0.9037432393528072 sig=0.004779987037181854 X6=0.5638838620385664 [279.8s]
  p=0.400 lam1=0.004474581219255924 lam2=0.0018480481812730432 gap12=0.8842826989650034 sig=0.004036690108478069 X6=0.6179261337510843 [261.7s]
  p=0.410 lam1=0.003810024354606867 lam2=0.0016025702934712172 gap12=0.8660267754114543 sig=0.0034026126377284527 X6=0.6785521320342601 [331.8s]
  p=0.420 lam1=0.0032421720679849386 lam2=0.0013866550289094448 gap12=0.8493491181014756 sig=0.0028627868741750717 X6=0.7466874878065145 [260.8s]
  p=0.430 lam1=0.0027577450964599848 lam2=0.0011969049228355289 gap12=0.8346743286417342 sig=0.0024041282013058662 X6=0.823356049140139 [658.5s]
  p=0.440 lam1=0.002345134038478136 lam2=0.0010303255403414369 gap12=0.8224677116907902 sig=0.002015233039855957 X6=0.9096463097103751 [266.4s]
  p=0.450 lam1=0.0019941902719438076 lam2=0.0008842737297527492 gap12=0.813226674186316 sig=0.0016861727926880121 X6=1.0066604887876927 [496.7s]
  p=0.460 lam1=0.0016960760112851858 lam2=0.000756428053136915 gap12=0.8074652433797742 sig=0.0014083191053941846 X6=1.1155229095731727 [330.5s]
  p=0.470 lam1=0.0014431055169552565 lam2=0.0006447434425354004 gap12=0.8057001767890146 sig=0.0011741917114704847 X6=1.2373043681528988 [374.7s]
  p=0.480 lam1=0.001228604232892394 lam2=0.0005474170320667326 gap12=0.8084231512539969 sig=0.0009773229248821735 X6=1.372901457523706 [376.6s]
  p=0.490 lam1=0.0010467998217791319 lam2=0.0004628537571989 gap12=0.8160818121005893 sig=0.0008121245191432536 X6=1.5230359397963609 [557.9s]
  p=0.500 lam1=0.0008927152957767248 lam2=0.0003896384150721133 gap12=0.8290485043769608 sig=0.0006737876101396978 X6=1.6881166173548632 [268.3s]
  p=0.510 lam1=0.0007620778633281589 lam2=0.0003265039704274386 gap12=0.8476066669408789 sig=0.0005581773584708571 X6=1.8682318482658737 [323.9s]
  p=0.520 lam1=0.0006512393010780215 lam2=0.00027230862178839743 gap12=0.8719411199445869 sig=0.0004617496451828629 X6=2.0631258839084508 [263.8s]
written mipt_results/n5_L6_scan_v2.json
